Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
109;Essén, Charlotte, Sektbarn 2008;  Vimmerby - Vuxen; ;;Cks;;2008-06-04;;80037103606;21
110;Farah, Malaka, Okunnighet är människans fiende 2003;  Vimmerby - Vuxen; ;;Cmd;;2003-10-01;;89014746809;4
111;Farah-zén, Koranen är vår väg 1984;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471350884;38
112;Fazlhashemi, Seyyed Mohammad, Vems islam 2008;  Vimmerby - Vuxen; ;;Cmd;;2010-11-23;;21781440884;1
113;Fjärstedt, Biörn, Evangeliet på andra marker än i väst 2009;  Vimmerby - Vuxen; ;;Ca;;2010-01-25;;21405610884;0
114;Fornberg, Tord, Det trovärdiga vittnet 2004;  Vimmerby - Vuxen; ;;Cc;;2005-05-09;;21609620884;4
115;Fotheringham, Allan, Att hitta hem 2006;  Vimmerby - Vuxen; ;;Cme;;2007-11-21;;89019894347;4
116;Fransson, Tomas, Inte bara kyrkans 2012;  Vimmerby - Vuxen; ;;Cc;;2013-07-01;2015-03-20;80047024496;1
117;Freeman, Eileen Elias, Änglavakt & skyddsänglar 1996;  Vimmerby - Vuxen; ;;Ce;;1998-04-06;;20471290884;74
118;Frisk, Liselotte, De nya religiösa rörelserna - vart tog de vägen? 2007;  Vimmerby - Vuxen; ;;Cn;;2008-02-15;2015-03-24;80036170895;6
119;Furuhagen, Hans, Bibeln och arkeologerna 2010;  Vimmerby - Vuxen; ;;Cc;;2010-12-08;;80041447611;3
120;Gardell, Jonas, Om Gud 2003;  Vimmerby - Vuxen; ;;Ce;;2003-04-14;;21316740884;48
121;Gardell, Jonas, Om Jesus 2009;  Vimmerby - Vuxen; ;;Cc;;2009-03-30;2015-03-20;80037123629;32
122;Gardell, Mattias, Bin Ladin i våra hjärtan 2005;  Vimmerby - Vuxen; ;;Cmd;;2005-11-02;;21620100884;6
123;Gardner, Laurence, Gåtan Maria Magdalena 2006;  Vimmerby - Vuxen; ;;Cc;;2007-04-04;2015-03-18;21713460884;23
124;Geels, Antoon, Den religiösa människan 2006;  Vimmerby - Vuxen; ;;C;;2010-12-08;;80041447809;10
125;Geels, Antoon, Kristen mystik. D. 1 2000;  Vimmerby - Vuxen; ;;Ce;;2001-10-03;;20858280884;6
126;Gibran, Kahlil, Jesus människoson 1995;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470410884;28
127;Gibran, Kahlil, Profeten 1977;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20470980884;50
128;Goldman, Anita, Guds älskarinnor 2005;  Vimmerby - Vuxen; ;;Cm;;2006-01-20;;21629060884;7
129;Goldman, Anita, Våra bibliska mödrar 1988;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470400884;27
130;Goleman, Daniel, Samtal med Dalai Lama 2003;  Vimmerby - Vuxen; ;;Cme;;2003-11-13;;21337190884;12
131;Granqvist, Hans, Meditation och mystik i Östasien 1995;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471520884;30
132;Grayling, A. C., Against all gods 2007;  Vimmerby - Vuxen; ;;C;;2009-05-12;;80039724339;3
133;Grimal, Pierre, Den grekiska mytologin 1993;  Vimmerby - Vuxen; ;;Cmg;;1998-04-06;;20471510884;13
134;Grossman, David, Lejonhonung 2006;  Vimmerby - Vuxen; ;;Cc;;2007-08-24;;21719460884;1
135;Grün, Anselm, Himlen mitt i öknen 1999;  Vimmerby - Vuxen; ;;Cj;;2002-11-06;2015-03-18;20992520884;17
136;Grønbech, Vilhelm, Nordiska myter och sagor 1965;  Vimmerby - Vuxen; ;;Cmi;;1998-04-06;;20471500884;69
137;Gudmundson, Ulla, Påven Benedictus, kyrkan och världen 2010;  Vimmerby - Vuxen; ;;Ck;;2010-12-08;;80041465101;0
138;Gumbricht, Norman, Vem var egentligen Akilles? 2009;  Vimmerby - Vuxen; ;;Cmg(x);;2009-10-22;;49799250080;1
139;Gustafsson Chen, Anna, Taoistiska berättelser 2001;  Vimmerby - Vuxen; ;;Cm;;2001-09-26;;20857840884;8
140;Gustafsson Figueroa, Kerstin, För Guds skull 2007;  Vimmerby - Vuxen; ;;Cmd;;2008-09-17;;21762340884;1
141;Gustafsson, Lars H., Barnet som slumrar 1995;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20470990884;21
142;Gällmo, Gunnar, Buddhas liv 1999;  Vimmerby - Vuxen; ;;Cme;;2000-02-07;;21280210884;14
143;Gällmo, Gunnar, Några fakta om forn sed 1998;  Vimmerby - Vuxen; ;;Cmi;;1999-01-19;;21236990884;13
144;Göth, Lennart, Religion 1 för gymnasiet 2012;  Vimmerby - Vuxen; ;;Cm;;2014-01-23;;51286720025;3
145;Hadžibajric, Fejzullah, Ilmihal 2000;  Vimmerby - Vuxen; ;;Cmd;;2001-02-21;;21047510884;17
146;Hagerman, Maja, I miraklers tid 2003;  Vimmerby - Vuxen; ;;Cj-c;;2003-12-09;;21340360884;10
147;Hallingberg, Gunnar, Läsarna 2010;  Vimmerby - Vuxen; ;;Cj-c;;2011-11-10;;80041466626;0
148;Hammar, Karl Gustav, Tecken och verklighet ; Samtal om Gud ; Ecce Homo 2006;  Vimmerby - Vuxen; ;;Ce;;2006-09-05;;89018407032;14
149;Hammer, Olav, Profeter mot strömmen 1999;  Vimmerby - Vuxen; ;;Cn;;2008-08-26;;21269720884;19
150;Harner, Michael, Shamanens väg 1983;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;20471490884;82
151;Harrison, Dick, Förrädaren, skökan och självmördaren 2005;  Vimmerby - Vuxen; ;;Cc;;2005-03-30;2015-03-18;21606790884;40
152;Hasan ibn Talal, Kristendomen i arabvärlden 2006;  Vimmerby - Vuxen; ;;Cj;;2007-06-12;2015-03-18;21717390884;4
153;Hedendomen i historiens spegel 2005;  Vimmerby - Vuxen; ;;Cmi;;2006-09-26;2015-04-06;21642970884;35
154;Hedin, Christer, Abrahams barn 1999;  Vimmerby - Vuxen; ;;Cm;;2000-10-16;;21035650884;37
155;Hedin, Christer, Bibeln och Koranen 2002;  Vimmerby - Vuxen; ;;Cc;;2002-04-22;;20878370884;15
156;Hedin, Christer, Islam i samhället 2001;  Vimmerby - Vuxen; ;;Cmd;;2001-08-16;;21062960884;24
157;Hedin, Christer, Islam i vardagen och världen 1994;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471470884;55
158;Hedin, Christer, Islam och västerlandet 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-12-14;;21703080884;5
159;Hedin, Christer, Islams historia 2010;  Vimmerby - Vuxen; ;;Cmd;;2011-02-14;;80041465334;3
160;Hedin, Christer, Kristendom 2011;  Vimmerby - Vuxen; ;;Ca;;2011-10-25;2015-03-25;80041466507;10
161;Hedin, Christer, Österns religioner 2013;  Vimmerby - Vuxen; ;;Cme;;2013-05-15;;51790980214;2
