Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
141;Hedin, Christer, Islam i vardagen och världen 1994;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471470884;55
142;Hedin, Christer, Islam och västerlandet 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-12-14;;21703080884;5
143;Hedin, Christer, Islams historia 2010;  Vimmerby - Vuxen; ;;Cmd;;2011-02-14;;80041465334;3
144;Hedin, Christer, Österns religioner 2013;  Vimmerby - Vuxen; ;;Cme;;2013-05-15;;51790980214;2
145;Hellman, Eva, Hinduiska gudinnor och kvinnor 1998;  Vimmerby - Vuxen; ;;Cme;;1998-12-04;;21233920884;25
146;Hellström, Jan Arvid, Vägar till Sveriges kristnande 1996;  Vimmerby - Vuxen; ;;Cj-c;;1998-04-06;;20471260884;51
147;Henrikson, Alf, Biblisk historia. 1, Gamla testamentet 1990;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470370884;15
148;Henrikson, Alf, Biblisk historia. 2, Nya testamentet 1990;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470380884;14
149;Hill, Jonathan, Den kristna kyrkans historia 2008;  Vimmerby - Vuxen; ;;Cj;;2009-07-16;;21793500884;11
150;Hill, Jonathan, Kristendomens spår 2006;  Vimmerby - Vuxen; ;;Ca;;2007-09-12;;21722120884;2
151;Hillerdal, Gunnar, Plymouthbröderna 2007;  Vimmerby - Vuxen; ;;Cks;;2007-09-26;;80034309976;6
152;Hinduismens heliga skrifter 2010;  Vimmerby - Vuxen; ;;Cme;;2010-12-21;;80041465158;6
153;Hjärpe, Jan, Förändringens vind 2009;  Vimmerby - Vuxen; ;;Cmd;;2009-07-17;;21793610884;1
154;Hjärpe, Jan, Islamismer 2010;  Vimmerby - Vuxen; ;;Cmd;;2010-09-22;;80041420673;2
155;Hjärpe, Jan, Islams värld 1990;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471450884;59
156;Hjärpe, Jan, Sharī'a 2014;  Vimmerby - Vuxen; ;;Cmd;;2014-07-08;;52725080032;0
157;Hjärpe, Jan, Tusen och en natt & den elfte september 2003;  Vimmerby - Vuxen; ;;C;;2003-10-02;;21333570884;8
158;Hoff, Benjamin, Tao enligt Puh 1984;  Vimmerby - Vuxen; ;;Cm;;1998-08-20;;21225440884;34
159;Holmqvist, Kalle, Gråkoltarna 2013;  Vimmerby - Vuxen; ;;Cj-c;;2014-06-26;;80047026179;0
160;Hughes, Bettany, Sköna Helena 2006;  Vimmerby - Vuxen; ;;Cmg;;2007-06-12;;21717370884;4
161;Hughes, Gerald, Bibelns värld 1981;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470350884;12
162;Hägg, Göran, Gud i Sverige 2010;  Vimmerby - Vuxen; ;;Cj-c;;2010-10-04;;80041431272;9
163;Hägg, Göran, Påvarna 2006;  Vimmerby - Vuxen; ;;Ck;;2006-05-02;;21636670884;13
164;Illustrerat bibellexikon. Bd 1, A-D 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-17;;21705530884;0
165;Illustrerat bibellexikon. Bd 2, E-F 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706850884;0
166;Illustrerat bibellexikon. Bd 3, G-I 1988;  Vimmerby - Vuxen; ;;Cc(x);;2007-01-24;;21706860884;0
